original_title,release_date
Law Abiding Citizen,10/15/09
Grindhouse,4/6/07
Beloved,10/16/98
Lucky You,5/1/07
Catch Me If You Can,12/25/02
Zero Dark Thirty,12/19/12
The Break-Up,6/1/06
Mamma Mia!,7/3/08
Valentine's Day,2/10/10
The Dukes of Hazzard,8/5/05
The Thin Red Line,12/25/98
The Change-Up,8/5/11
Man on the Moon,12/22/99
Casino,11/22/95
From Paris with Love,2/5/10
Bulletproof Monk,3/28/03
"Me, Myself & Irene",6/22/00
Barnyard,8/4/06
Deck the Halls,11/22/06
The Twilight Saga: New Moon,3/15/09
Shrek,5/16/01
The Adjustment Bureau,3/3/11
Robin Hood: Prince of Thieves,6/14/91
Jerry Maguire,12/6/96
Ted,6/29/12
As Good as It Gets,12/19/97
Patch Adams,12/25/98
Anchorman 2: The Legend Continues,12/18/13
Mr. Deeds,6/28/02
Super 8,6/8/11
Erin Brockovich,3/17/00
How to Lose a Guy in 10 Days,2/7/03
22 Jump Street,6/5/14
Interview with the Vampire,11/11/94
Yes Man,12/9/08
Central Intelligence,6/15/16
Stepmom,12/25/98
Daddy's Home,12/25/15
Into the Woods,12/25/14
Inside Man,3/23/06
Payback,2/5/99
Congo,6/9/95
We Bought a Zoo,12/22/11
Knowing,3/19/09
Failure to Launch,3/10/06
The Ring Two,3/17/05
"Crazy, Stupid, Love.",7/29/11
Garfield,6/10/04
Christmas with the Kranks,11/24/04
Moneyball,9/22/11
Outbreak,3/10/95
Non-Stop,1/26/14
Race to Witch Mountain,3/12/09
V for Vendetta,3/15/06
Shanghai Knights,2/6/03
